[2025-09-20T19:47:09.180+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:47:09.211+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Budget scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.225+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Budget scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.226+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-09-20T19:47:09.242+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): extract_load_fact_Budget> on 2024-01-01 00:00:00+00:00
[2025-09-20T19:47:09.248+0000] {standard_task_runner.py:72} INFO - Started process 139 to run task
[2025-09-20T19:47:09.254+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'bronze_full_load_spaceparts_optimized', 'extract_load_fact_Budget', 'scheduled__2024-01-01T00:00:00+00:00', '--job-id', '210', '--raw', '--subdir', 'DAGS_FOLDER/spaceparts_etl_orchestrator.py', '--cfg-path', '/tmp/tmpdxkmgpfl']
[2025-09-20T19:47:09.257+0000] {standard_task_runner.py:105} INFO - Job 210: Subtask extract_load_fact_Budget
[2025-09-20T19:47:09.632+0000] {task_command.py:467} INFO - Running <TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Budget scheduled__2024-01-01T00:00:00+00:00 [running]> on host fd99d81282fc
[2025-09-20T19:47:09.708+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data-team' AIRFLOW_CTX_DAG_ID='bronze_full_load_spaceparts_optimized' AIRFLOW_CTX_TASK_ID='extract_load_fact_Budget' AIRFLOW_CTX_EXECUTION_DATE='2024-01-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-01-01T00:00:00+00:00'
[2025-09-20T19:47:09.710+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-09-20T19:47:09.723+0000] {spaceparts_etl_orchestrator.py:357} INFO - Starting optimized extraction for table: fact.Budget
[2025-09-20T19:47:12.856+0000] {spaceparts_etl_orchestrator.py:368} INFO - Table fact.Budget has 2,947,811 rows
[2025-09-20T19:47:12.857+0000] {spaceparts_etl_orchestrator.py:389} INFO - Using chunk size: 25,000 for 2,947,811 rows
[2025-09-20T19:47:12.857+0000] {spaceparts_etl_orchestrator.py:393} INFO - Starting streaming extraction and load for fact.Budget
[2025-09-20T19:47:16.509+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 1 with 25000 rows
[2025-09-20T19:47:16.576+0000] {spaceparts_etl_orchestrator.py:275} INFO - Table bronze_fact_budget created successfully
[2025-09-20T19:47:21.300+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 25,000
[2025-09-20T19:47:21.688+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 2 with 25000 rows
[2025-09-20T19:47:26.002+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 50,000
[2025-09-20T19:47:26.305+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 3 with 25000 rows
[2025-09-20T19:47:30.779+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 75,000
[2025-09-20T19:47:31.091+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 4 with 25000 rows
[2025-09-20T19:47:35.081+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 100,000
