[2025-09-20T19:47:09.187+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:47:09.214+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Invoices scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.226+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Invoices scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.227+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-09-20T19:47:09.245+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): extract_load_fact_Invoices> on 2024-01-01 00:00:00+00:00
[2025-09-20T19:47:09.250+0000] {standard_task_runner.py:72} INFO - Started process 142 to run task
[2025-09-20T19:47:09.258+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'bronze_full_load_spaceparts_optimized', 'extract_load_fact_Invoices', 'scheduled__2024-01-01T00:00:00+00:00', '--job-id', '213', '--raw', '--subdir', 'DAGS_FOLDER/spaceparts_etl_orchestrator.py', '--cfg-path', '/tmp/tmp7a22f3ju']
[2025-09-20T19:47:09.261+0000] {standard_task_runner.py:105} INFO - Job 213: Subtask extract_load_fact_Invoices
[2025-09-20T19:47:09.636+0000] {task_command.py:467} INFO - Running <TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Invoices scheduled__2024-01-01T00:00:00+00:00 [running]> on host fd99d81282fc
[2025-09-20T19:47:09.714+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data-team' AIRFLOW_CTX_DAG_ID='bronze_full_load_spaceparts_optimized' AIRFLOW_CTX_TASK_ID='extract_load_fact_Invoices' AIRFLOW_CTX_EXECUTION_DATE='2024-01-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-01-01T00:00:00+00:00'
[2025-09-20T19:47:09.715+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-09-20T19:47:09.726+0000] {spaceparts_etl_orchestrator.py:357} INFO - Starting optimized extraction for table: fact.Invoices
[2025-09-20T19:47:12.888+0000] {spaceparts_etl_orchestrator.py:368} INFO - Table fact.Invoices has 18,459,441 rows
[2025-09-20T19:47:12.889+0000] {spaceparts_etl_orchestrator.py:389} INFO - Using chunk size: 15,000 for 18,459,441 rows
[2025-09-20T19:47:12.890+0000] {spaceparts_etl_orchestrator.py:393} INFO - Starting streaming extraction and load for fact.Invoices
[2025-09-20T19:47:16.804+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 1 with 15000 rows
[2025-09-20T19:47:16.951+0000] {spaceparts_etl_orchestrator.py:275} INFO - Table bronze_fact_invoices created successfully
[2025-09-20T19:47:25.345+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 15,000
[2025-09-20T19:47:25.782+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 2 with 15000 rows
[2025-09-20T19:47:33.083+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 30,000
[2025-09-20T19:47:33.428+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 3 with 15000 rows
[2025-09-20T19:47:40.190+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 45,000
[2025-09-20T19:47:40.680+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 4 with 15000 rows
[2025-09-20T19:47:50.916+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 60,000
[2025-09-20T19:47:51.254+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 5 with 15000 rows
[2025-09-20T19:47:58.629+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 75,000
[2025-09-20T19:47:58.997+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 6 with 15000 rows
[2025-09-20T19:48:05.651+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 90,000
[2025-09-20T19:48:06.002+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 7 with 15000 rows
[2025-09-20T19:48:13.507+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 105,000
[2025-09-20T19:48:13.922+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 8 with 15000 rows
[2025-09-20T19:48:24.011+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 120,000
[2025-09-20T19:48:24.389+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 9 with 15000 rows
[2025-09-20T19:48:31.081+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 135,000
[2025-09-20T19:48:31.506+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 10 with 15000 rows
[2025-09-20T19:48:38.777+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 150,000
[2025-09-20T19:48:39.153+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 11 with 15000 rows
[2025-09-20T19:48:45.482+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 165,000
[2025-09-20T19:48:46.016+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 12 with 15000 rows
[2025-09-20T19:48:51.997+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 180,000
[2025-09-20T19:48:52.304+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 13 with 15000 rows
[2025-09-20T19:49:01.096+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 195,000
[2025-09-20T19:49:01.374+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 14 with 15000 rows
[2025-09-20T19:49:06.885+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 210,000
