[2025-09-20T19:04:36.579+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:04:36.610+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Orders scheduled__2024-01-02T00:00:00+00:00 [queued]>
[2025-09-20T19:04:36.630+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Orders scheduled__2024-01-02T00:00:00+00:00 [queued]>
[2025-09-20T19:04:36.632+0000] {taskinstance.py:2867} INFO - Starting attempt 2 of 3
[2025-09-20T19:04:36.665+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): extract_load_fact_Orders> on 2024-01-02 00:00:00+00:00
[2025-09-20T19:04:36.675+0000] {standard_task_runner.py:72} INFO - Started process 145 to run task
[2025-09-20T19:04:36.684+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'bronze_full_load_spaceparts_optimized', 'extract_load_fact_Orders', 'scheduled__2024-01-02T00:00:00+00:00', '--job-id', '200', '--raw', '--subdir', 'DAGS_FOLDER/01_Bronce.py', '--cfg-path', '/tmp/tmpa9vm3ozf']
[2025-09-20T19:04:37.057+0000] {standard_task_runner.py:105} INFO - Job 200: Subtask extract_load_fact_Orders
[2025-09-20T19:04:37.154+0000] {task_command.py:467} INFO - Running <TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Orders scheduled__2024-01-02T00:00:00+00:00 [running]> on host 7abc58c5db43
[2025-09-20T19:04:37.283+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data-team' AIRFLOW_CTX_DAG_ID='bronze_full_load_spaceparts_optimized' AIRFLOW_CTX_TASK_ID='extract_load_fact_Orders' AIRFLOW_CTX_EXECUTION_DATE='2024-01-02T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-01-02T00:00:00+00:00'
[2025-09-20T19:04:37.284+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-09-20T19:04:37.312+0000] {01_Bronce.py:357} INFO - Starting optimized extraction for table: fact.Orders
[2025-09-20T19:04:40.307+0000] {01_Bronce.py:368} INFO - Table fact.Orders has 16,910,069 rows
[2025-09-20T19:04:40.307+0000] {01_Bronce.py:389} INFO - Using chunk size: 15,000 for 16,910,069 rows
[2025-09-20T19:04:40.308+0000] {01_Bronce.py:393} INFO - Starting streaming extraction and load for fact.Orders
[2025-09-20T19:04:47.778+0000] {01_Bronce.py:223} INFO - Processing chunk 1 with 15000 rows
[2025-09-20T19:04:47.939+0000] {01_Bronce.py:275} INFO - Table bronze_fact_orders created successfully
[2025-09-20T19:05:00.219+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 15,000
[2025-09-20T19:05:00.872+0000] {01_Bronce.py:223} INFO - Processing chunk 2 with 15000 rows
[2025-09-20T19:05:09.181+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 30,000
[2025-09-20T19:05:09.647+0000] {01_Bronce.py:223} INFO - Processing chunk 3 with 15000 rows
[2025-09-20T19:05:15.950+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 45,000
[2025-09-20T19:05:16.294+0000] {01_Bronce.py:223} INFO - Processing chunk 4 with 15000 rows
[2025-09-20T19:05:26.537+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 60,000
[2025-09-20T19:05:27.006+0000] {01_Bronce.py:223} INFO - Processing chunk 5 with 15000 rows
[2025-09-20T19:05:32.887+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 75,000
[2025-09-20T19:05:33.340+0000] {01_Bronce.py:223} INFO - Processing chunk 6 with 15000 rows
[2025-09-20T19:05:40.181+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 90,000
[2025-09-20T19:05:40.719+0000] {01_Bronce.py:223} INFO - Processing chunk 7 with 15000 rows
[2025-09-20T19:05:47.787+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 105,000
[2025-09-20T19:05:48.184+0000] {01_Bronce.py:223} INFO - Processing chunk 8 with 15000 rows
[2025-09-20T19:05:57.700+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 120,000
[2025-09-20T19:05:58.134+0000] {01_Bronce.py:223} INFO - Processing chunk 9 with 15000 rows
[2025-09-20T19:06:04.842+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 135,000
[2025-09-20T19:06:05.384+0000] {01_Bronce.py:223} INFO - Processing chunk 10 with 15000 rows
[2025-09-20T19:06:10.868+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 150,000
[2025-09-20T19:06:11.277+0000] {01_Bronce.py:223} INFO - Processing chunk 11 with 15000 rows
[2025-09-20T19:06:18.364+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 165,000
[2025-09-20T19:06:18.806+0000] {01_Bronce.py:223} INFO - Processing chunk 12 with 15000 rows
[2025-09-20T19:06:25.291+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 180,000
[2025-09-20T19:06:25.896+0000] {01_Bronce.py:223} INFO - Processing chunk 13 with 15000 rows
[2025-09-20T19:06:36.372+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 195,000
[2025-09-20T19:06:36.977+0000] {01_Bronce.py:223} INFO - Processing chunk 14 with 15000 rows
[2025-09-20T19:06:43.592+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 210,000
